ppn,file_id,version,textline_confs,word_confs
PPN671774840,00000001.xml,20241025,,
PPN671774840,00000002.xml,20241025,0.328846435546875 0.433237152099609,0.328846435546875 0.433237152099609
PPN671774840,00000003.xml,20241025,,
PPN671774840,00000004.xml,20241025,,
PPN671774840,00000005.xml,20241025,0.29058479309082 0.66817554473877 0.408480262756348 0.628569374084473 0.95137092590332 0.71504700978597 0.820815553665161 0.884560534159342 0.750074562072754 0.809494501749675 0.61632345199585 0.244258069992065 0.741430333455404,0.29058479309082 0.960209121704102 0.376141967773438 0.408480262756348 0.422368240356445 0.8347705078125 0.95137092590332 0.963999633789063 0.928455429077148 0.702697296142578 0.85794319152832 0.251093368530273 0.586093139648437 0.967074813842773 0.931808776855469 0.907998046875 0.476380577087402 0.965224761962891 0.93199333190918 0.833407135009766 0.914000396728516 0.780327911376953 0.88240966796875 0.949836196899414 0.931489715576172 0.420722236633301 0.934899139404297 0.513425521850586 0.915057067871094 0.932991790771484 0.909324417114258 0.289915618896484 0.933051910400391 0.876626205444336 0.426660461425781 0.933059310913086 0.552787017822266 0.552787017822266 0.043342971801758 0.0 0.047732925415039 0.001710586547852 0.234078826904297 0.152947311401367 0.205087966918945 0.269163970947266 0.374951934814453 0.952709121704102 0.896629943847656
PPN671774840,00000006.xml,20241025,0.562352905273438,0.562352905273438
PPN671774840,00000007.xml,20241025,0.964148178100586 0.872335624694824 0.927170028686523 0.89677360534668 0.867247708638509 0.796572102137974 0.761763305664062 0.833262138366699 0.911765505472819 0.807780386606852 0.788729298909505 0.903856520652771 0.750485196794782 0.810034957885742 0.842533543904622,0.964148178100586 0.371926460266113 0.958858795166016 0.961927185058594 0.968048782348633 0.964807281494141 0.963436965942383 0.917343902587891 0.955250625610352 0.960783233642578 0.964180374145508 0.969008865356445 0.786627044677734 0.933004379272461 0.669550170898437 0.957536087036133 0.957536087036133 0.966241302490234 0.960971603393555 0.964055709838867 0.902407836914062 0.653832626342773 0.861109237670898 0.861109237670898 0.420374450683594 0.966841125488281 0.959571838378906 0.959571838378906 0.346798248291016 0.969132080078125 0.953715133666992 0.828348770141602 0.69521240234375 0.905637969970703 0.617854080200195 0.413508415222168 0.947792892456055 0.923746871948242 0.914003448486328 0.967259063720703 0.936550827026367 0.963582229614258 0.676981201171875 0.967704391479492 0.965272903442383 0.960501480102539 0.685827789306641 0.386697425842285 0.957800521850586 0.968011856079102 0.933048706054687 0.915296020507812 0.143296890258789 0.860556793212891 0.958938217163086 0.963241500854492 0.908286819458008 0.898055572509766 0.947958526611328 0.947958526611328 0.965494995117188 0.958869934082031 0.96634147644043 0.932368087768555 0.544154777526855 0.967705841064453 0.78083740234375 0.792363204956055 0.827385025024414 0.827385025024414 0.261127548217773 0.852374496459961 0.911923675537109 0.848179321289062 0.906116561889648 0.969794692993164 0.959808502197266 0.36627571105957 0.857204055786133 0.857204055786133 0.813192520141602
PPN671774840,00000008.xml,20241025,0.72177396774292 0.963795369466146 0.921563805474175 0.962612184797014 0.870773260328505 0.966883969988142 0.94627680460612 0.952001609802246 0.832917289733887 0.921055747138129 0.859804306030274 0.894334945678711 0.742459426879883 0.856996681213379 0.936808420817057 0.747568823496501 0.946200838088989 0.920439398629325 0.886532485961914 0.77548215230306 0.91344126701355 1.0,0.91855583190918 0.036793518066406 0.965257720947266 0.966488800048828 0.96872802734375 0.96616325378418 0.957869338989258 0.962964477539062 0.965991592407227 0.961055526733398 0.967324600219727 0.884010696411133 0.965472717285156 0.964851837158203 0.968634643554688 0.964415893554687 0.721702575683594 0.932928695678711 0.92473258972168 0.964379272460937 0.966498641967773 0.965869522094727 0.945551147460937 0.969363021850586 0.960159606933594 0.966464080810547 0.721331176757813 0.9324853515625 0.915346145629883 0.924673690795898 0.583630561828613 0.9466064453125 0.966563415527344 0.932565689086914 0.913756866455078 0.96808235168457 0.968769683837891 0.970019989013672 0.965501937866211 0.967883148193359 0.963954925537109 0.96397575378418 0.965781707763672 0.967567825317383 0.962405319213867 0.963031005859375 0.932885589599609 0.885989379882812 0.90618278503418 0.962671661376953 0.969644012451172 0.966116027832031 0.965911407470703 0.969004669189453 0.966845321655273 0.909636993408203 0.348653564453125 0.621718368530273 0.96877555847168 0.967165069580078 0.967192764282227 0.93221321105957 0.917533721923828 0.962189636230469 0.96843376159668 0.675297241210937 0.769962310791016 0.769962310791016 0.961228256225586 0.964345169067383 0.960166320800781 0.966939163208008 0.964058837890625 0.967822265625 0.96501708984375 0.932981033325195 0.889843826293945 0.61905158996582 0.966159439086914 0.968663024902344 0.782126922607422 0.691677780151367 0.963205871582031 0.965460968017578 0.967183151245117 0.93303092956543 0.845450973510742 0.915023727416992 0.923396301269531 0.825910110473633 0.965327987670898 0.082639007568359 0.227910766601563 0.83531623840332 0.83531623840332 0.967686157226562 0.93285774230957 0.928912048339844 0.964523620605469 0.958695755004883 0.952837982177734 0.965910263061523 0.962555313110352 0.933048553466797 0.907402420043945 0.96809928894043 0.968075866699219 0.881669082641602 0.562434425354004 0.966936950683594 0.208335418701172 0.903372955322266 0.932763748168945 0.911569442749023 0.966110534667969 0.968722991943359 0.966407775878906 0.966962051391602 0.966043243408203 0.962615356445312 0.932558288574219 0.840186462402344 0.926572494506836 0.682544555664062 0.967910385131836 0.96903205871582 0.968684539794922 0.963445816040039 0.964885940551758 0.964088668823242 0.933026657104492 0.928452835083008 0.822547454833984 0.784546813964844 0.291283569335938 0.94814826965332 0.959250793457031 0.527418670654297 0.960940704345703 0.96585090637207 0.969660568237305 0.966137619018555 0.967227249145508 0.689695053100586 0.905468978881836 0.932538146972656 0.931549682617188 0.945252838134766 0.0
PPN671774840,00000009.xml,20241025,0.615126533508301 0.758105400085449 0.801581503550212 0.782979187011719 0.920125002179827 0.921953086853027 0.876313443865095 0.923790995279948 0.870697924296061 0.92024104309082 0.839764535086496 0.82012826707628 0.946043548583984 0.946591934204102 0.916393051147461 0.804443778991699 0.801989580790202 0.854084047589983 0.540452709197998 0.885894186837333 0.838697444370815 0.936561635335286,0.615126533508301 0.748410186767578 0.914727020263672 0.857980422973633 0.023399505615234 0.944287414550781 0.954262008666992 0.966871109008789 0.953336486816406 0.608889923095703 0.608889923095703 0.615024147033691 0.933033599853516 0.666109008789063 0.666109008789063 0.964904632568359 0.964308624267578 0.959240341186523 0.932804641723633 0.327983169555664 0.930938720703125 0.763929061889648 0.968152236938477 0.965288238525391 0.963624496459961 0.931778259277344 0.763773345947266 0.883417053222656 0.964841384887695 0.928893280029297 0.900590515136719 0.965160980224609 0.815622177124023 0.957403564453125 0.964048004150391 0.553417510986328 0.76904655456543 0.955864486694336 0.969211959838867 0.968178863525391 0.959237365722656 0.959237365722656 0.953760223388672 0.932853851318359 0.924861450195313 0.966163787841797 0.959656982421875 0.805449676513672 0.960288238525391 0.967497024536133 0.933013000488281 0.902058868408203 0.902058868408203 0.559271545410156 0.893561019897461 0.848292999267578 0.965225524902344 0.962831268310547 0.931294403076172 0.963440628051758 0.931401596069336 0.917102508544922 0.963367538452148 0.457593841552734 0.918292388916016 0.727153244018555 0.967764282226563 0.962460174560547 0.962483749389648 0.958187255859375 0.932950897216797 0.330502166748047 0.330502166748047 0.969411849975586 0.966891860961914 0.939239883422852 0.963766479492188 0.965444641113281 0.957282180786133 0.932881622314453 0.917646484375 0.963862075805664 0.91900993347168 0.917344970703125 0.966766738891602 0.965975952148437 0.924782180786133 0.932821655273438 0.779062652587891 0.966345596313477 0.96222785949707 0.932972412109375 0.916539001464844 0.908951416015625 0.964526977539062 0.965986328125 0.933032913208008 0.321839981079102 0.732325057983398 0.294090423583984 0.925255661010742 0.930941696166992 0.837552337646484 0.931007843017578 0.89308952331543 0.958149032592773 0.968806076049805 0.963408966064453 0.968510665893555 0.264052124023437 0.932958221435547 0.922703247070312 0.604291229248047 0.476614189147949 0.962516403198242 0.963906555175781 0.965461273193359 0.957300491333008 0.958526000976562 0.696774291992188 0.696774291992188 0.962662200927734 0.953221588134766 0.931588363647461 0.937031173706055 0.966671752929688 0.556739273071289 0.562967758178711 0.922273178100586 0.922273178100586 0.965138549804687
PPN671774840,00000010.xml,20241025,0.897084302902222 0.748454067230225 0.744515822274344 0.712598490033831 0.832823505401611 0.881985635757446 0.923401042393276 0.864629998207092 0.925930773417155 0.941084899902344 0.518541717529297 0.92648681640625,0.963949127197266 0.961814956665039 0.737378692626953 0.928195190429687 0.928195190429687 0.968007125854492 0.925821075439453 0.763313064575195 0.968292770385742 0.933010711669922 0.57590259552002 0.542767524719238 0.774045944213867 0.704657897949219 0.369546165466309 0.690910949707031 0.963993377685547 0.961412734985352 0.706101989746094 0.675222015380859 0.449231262207031 0.590124931335449 0.960464401245117 0.932296295166016 0.898169860839844 0.672248229980469 0.465880546569824 0.642115097045898 0.954358749389648 0.967301712036133 0.849342880249023 0.43694221496582 0.907673034667969 0.445246315002441 0.963324737548828 0.963300170898437 0.955918502807617 0.761478271484375 0.966227645874023 0.966227645874023 0.876907196044922 0.925951690673828 0.933040924072266 0.911157150268555 0.765468826293945 0.710904006958008 0.965990905761719 0.966235580444336 0.961762542724609 0.961306915283203 0.962998275756836 0.933030700683594 0.712482376098633 0.922189865112305 0.954870147705078 0.965778656005859 0.961936950683594 0.560602378845215 0.91021369934082 0.862393112182617 0.77905517578125 0.963221740722656 0.965910720825195 0.909508819580078 0.792797088623047 0.962112274169922 0.962033996582031 0.957979965209961 0.932246932983398 0.919312896728516 0.9547998046875 0.751688842773438 0.285394592285156 0.92648681640625
